,probs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,0.241730337,26.378311,27.60321,26.579113,26.797289,27.182522,25.924238,26.031221,25.235909,25.309467,26.254107,25.877697,25.875298,26.327127,26.274729,26.654104,26.629974,25.971617,27.564333,26.531332,27.53483,29.123621,28.892918,30.930302,31.499617,32.41603,34.171783,37.4403,36.411453,40.430294,43.037777,44.530067,41.439274,42.11274,39.18414,40.555553,39.40215,45.093906,44.968548,47.45665,51.09619,51.48031,52.40697,47.519657,50.832268,52.536133,52.380474,51.876617,50.365788,48.985855,48.224163,50.480515,51.952652,55.029152,57.00058,57.916866,57.023937,58.5208,55.96126,56.696064,58.3931,54.642433,54.965607,53.9438,54.246353,54.531513,50.7794,47.978817,44.244526,49.383827,42.826893,35.72497,41.27882,33.844677,47.78386,42.273464,43.887012,41.39321,36.810875,36.453682,34.406746,32.875526,33.531784,33.285122,35.02532,33.759098,33.606087,31.200788,31.62772,30.061508,28.106913,28.128183,28.43792,28.074486,27.845787,27.858171,26.324957
1,0.382924923,26.200487,26.959734,26.505398,27.23332,27.023743,25.65902,25.546852,24.209097,22.657846,26.132395,24.960793,25.456299,24.87374,25.980629,26.101019,27.119947,25.278255,25.861658,26.727144,27.519447,29.682343,29.261059,32.18059,33.6416,35.42998,34.806446,39.919754,33.068085,40.87584,46.579044,46.59531,45.623928,38.379944,37.102066,38.87588,38.926624,43.420555,45.273884,48.681126,51.663647,52.344948,54.290333,51.035297,51.104095,51.851585,50.29331,52.48278,52.88167,51.99326,51.396065,53.25196,53.44684,56.995995,58.533222,59.917274,60.285698,58.707127,60.71807,59.29161,60.372215,59.665558,58.57813,60.542336,57.475006,58.658894,56.183064,54.078026,54.718334,55.497566,52.649624,48.10205,44.944626,41.74071,47.96353,44.50233,43.298767,40.211094,38.25145,36.62996,33.86933,33.65606,36.398598,34.10055,38.13029,36.715374,35.81722,32.80104,32.429947,30.083088,28.764202,30.357813,30.364445,28.107773,28.000208,27.195005,25.980629
2,0.241730337,26.792175,27.517292,26.808542,27.421772,27.372026,25.482628,25.997648,24.757004,23.568241,26.12449,25.152113,25.821585,26.016836,26.247122,26.083424,27.03388,25.837467,27.515518,26.526434,27.911058,30.31773,29.52368,33.06297,33.861053,37.280018,36.268303,35.972347,34.841614,36.406937,46.28787,44.741154,45.972656,47.306667,46.926067,52.378616,56.191338,53.204205,54.48062,52.16458,51.86213,50.633995,49.510265,51.957344,53.89733,55.519398,50.57114,53.38385,52.671986,45.899593,46.40285,43.154453,50.72167,52.30218,54.85823,59.938972,58.9883,61.623,60.32031,58.98406,60.40932,58.09284,60.149277,52.8903,55.42431,54.177002,50.412674,46.97484,44.856556,46.4752,42.789997,37.25356,40.160355,36.713963,47.372696,47.90497,44.704556,44.22931,39.755447,35.914547,34.930492,35.440723,34.99866,33.750084,36.1597,35.085423,34.552883,32.1771,31.801996,29.57087,28.704084,28.682524,29.933819,28.052729,28.255709,27.717972,26.832817
3,0.241730337,26.152414,26.76866,26.435196,26.756014,27.029657,25.778963,26.105799,24.98936,23.721668,26.281706,25.638346,25.978354,25.297018,26.032953,26.323357,27.416939,26.22823,27.794464,27.16547,27.491064,28.692263,28.962687,31.524097,32.977062,33.52952,36.25823,38.19579,34.28445,40.56475,44.40378,44.828354,43.821507,42.15796,41.67719,42.608803,46.759747,46.22471,47.245667,48.152637,48.13327,48.979324,49.371773,49.397663,50.536324,51.983566,51.77063,52.39837,52.890083,50.50342,49.731956,51.704395,51.549232,54.189632,56.284496,57.901115,57.279385,58.15991,58.754612,57.92586,59.82513,58.860146,59.005093,57.815327,55.39017,55.789036,54.27262,53.27737,52.60456,54.102173,51.839592,46.174957,45.16739,39.33948,46.64913,46.16204,44.65462,40.898617,39.537838,36.473557,35.15931,33.604027,34.18307,33.119656,35.337685,33.942566,33.31006,31.618479,31.993658,30.1513,28.195564,29.386196,29.785383,28.171944,28.700684,27.188396,27.02437
4,0.382924923,26.54155,27.463482,27.073133,27.602306,27.467562,26.057907,26.035318,25.896795,26.445827,26.243208,26.017794,26.319336,25.93187,26.52464,26.741,25.647148,26.428822,27.134773,26.782574,27.526714,29.802572,29.604141,33.146347,32.169807,34.84737,35.124325,34.86638,36.4564,34.05423,40.82716,40.687996,39.063835,43.036926,42.07291,47.21289,49.850895,51.718037,53.371586,51.012783,51.6148,53.255604,51.46381,51.91566,53.82681,54.809982,55.228462,54.962227,54.009365,50.8524,46.931366,49.48169,49.954376,53.14205,56.17912,56.73524,58.906178,59.580494,58.44065,56.955013,55.590084,56.520535,52.225746,55.988323,54.806023,56.159813,52.565853,45.315876,43.155388,44.111942,35.884117,31.861794,35.962006,34.43453,43.47484,40.075195,44.917686,41.920395,34.780468,32.22391,34.544968,33.66592,33.83377,33.849365,34.276947,34.70915,34.050877,31.005402,30.582254,28.053854,27.52577,28.260445,29.341246,27.306631,27.984005,27.615816,26.677916
5,0.241730337,26.079128,26.897131,26.61985,27.007158,27.213606,25.571798,25.894947,25.025568,23.798878,26.246136,25.195234,25.810682,25.843248,26.037783,26.193575,26.064238,25.607412,27.488369,26.692877,28.098574,30.333794,29.596998,32.704338,32.593254,35.935543,37.03878,34.9306,34.430386,38.03524,43.71382,42.7489,40.91201,42.880062,38.34809,41.97482,39.514683,43.19908,44.933136,46.44187,49.121517,50.630234,50.53579,50.074635,51.33268,53.164177,50.57984,52.317226,52.400143,48.583473,48.77456,48.48229,52.00694,53.82833,57.362095,59.445896,57.45563,60.486687,58.52363,58.25908,58.63426,55.71566,59.684525,54.952324,56.602318,56.06636,53.36574,48.597813,43.217495,40.873547,37.330982,33.152184,38.311104,34.542812,45.30952,44.301098,43.684048,41.583668,37.72297,34.94388,35.299393,35.67748,35.742695,34.086617,35.86751,34.917027,34.82287,31.769363,32.311848,29.45174,28.111185,27.627474,28.750261,27.559238,27.703522,27.997835,26.163723
6,0.382924923,26.386923,27.212406,26.841026,27.144121,27.177668,25.803469,25.967966,25.24734,25.44014,26.086172,25.36229,25.534607,25.480589,25.815655,26.152767,26.231497,25.910736,27.025818,26.355913,27.471664,28.800856,28.335476,32.375553,33.00026,33.976498,34.632816,35.848194,36.597473,37.07631,41.98687,44.026325,42.45617,43.38403,40.774384,42.468464,44.837624,45.83748,46.011635,47.134113,49.329758,51.82346,48.58835,50.256348,51.22011,50.411537,50.88621,49.87885,50.88323,51.40251,48.24953,52.16523,50.35657,52.20198,54.21391,54.71458,56.907738,55.998524,58.59882,56.097523,56.518745,57.482533,52.557228,59.33116,54.02498,55.331944,52.40546,47.726406,48.49748,46.895336,40.49445,34.934025,39.765892,36.792164,45.393208,45.201767,44.472992,43.4115,36.789444,34.618496,35.1282,35.149822,37.034096,34.10728,35.775906,35.364708,33.485516,31.374466,31.469116,29.068533,28.19806,28.88013,29.317566,28.66901,28.112408,26.934258,27.385777
7,0.241730337,26.479332,27.290142,26.626823,26.899193,27.328533,26.188412,26.248169,25.637152,25.503124,26.417528,25.794233,26.047941,26.524559,26.304161,26.103674,26.786438,25.95885,26.711216,26.452127,27.285458,28.617584,28.639133,30.550352,31.668247,32.02375,34.404446,36.761276,38.25727,39.36561,44.157967,45.015984,43.29861,44.300888,39.579124,41.140823,38.144238,43.784912,42.40387,47.620216,49.585606,49.738598,50.931408,48.893482,50.528717,51.86363,51.534462,50.665565,51.673244,49.357674,49.836853,49.430435,50.65232,52.84586,55.441433,56.0731,57.377533,57.212807,55.20288,55.53085,54.35539,51.509064,54.75131,47.94172,52.77815,53.564228,50.398342,47.7628,40.723263,45.011,40.296333,32.659912,40.717648,36.459534,48.879276,45.553017,46.034718,42.73458,38.867043,35.7638,33.503788,32.504513,32.27765,32.18514,33.95566,32.544945,30.9919,30.283928,29.227968,29.102516,28.128593,28.185793,29.933615,28.762512,28.248362,27.83847,26.277729
8,0.382924923,26.347662,27.174644,26.546923,26.886179,27.180687,25.727413,25.706501,25.335857,24.873127,25.85127,25.260433,25.449013,25.94439,26.034565,25.70633,26.868132,26.094992,27.044367,27.249836,27.35008,28.99236,29.12551,31.097004,32.696037,33.11867,36.478466,37.89737,39.74853,41.577522,43.634068,46.0085,43.830532,46.280663,44.088898,46.09183,46.980587,48.33297,45.895256,47.51425,47.597523,48.91244,49.423183,48.169785,50.44272,52.300102,50.831814,50.474133,51.80002,52.14918,51.6496,51.979397,50.800404,54.49627,56.560192,57.096714,57.958267,55.919403,56.770203,56.978245,53.295864,51.734127,54.567707,51.60225,53.377934,53.786865,52.07681,51.468254,45.32491,47.656525,43.853214,36.806843,40.06173,35.668156,46.047882,42.662014,43.376038,41.213646,38.373325,35.934998,34.730576,32.379807,33.502125,32.400867,33.610004,32.624115,31.19485,30.374865,29.16647,29.538136,27.645739,28.064604,29.12098,28.902845,28.188711,27.539663,26.430176
9,0.241730337,26.312983,26.55721,26.377674,26.781456,26.942463,25.898478,25.985014,25.706429,25.224907,25.944094,25.682573,25.742533,26.156336,26.084728,26.476404,26.00151,26.34295,26.800148,27.125975,27.417727,29.319914,29.47728,32.43458,31.781227,34.07023,33.9603,34.504005,32.45138,33.013027,41.25488,38.691097,39.296253,41.79391,43.34024,48.47133,51.588074,52.51968,53.71925,51.360184,51.144287,50.604286,49.536167,50.57807,52.300602,53.980488,52.15313,51.582695,52.607903,46.745373,45.65615,45.26521,49.037514,51.144875,54.021053,56.923183,57.85507,59.424496,57.208473,55.91171,54.88592,50.98652,51.659515,43.29456,49.9904,50.534565,48.547253,42.86746,33.85931,39.808334,33.64846,29.406096,34.159897,33.84079,43.95938,41.677452,44.005314,41.22661,37.276962,33.991886,34.06417,33.07587,33.858192,33.79521,34.106556,33.989445,33.746197,31.85517,31.565992,29.71543,28.643421,28.12174,29.819382,28.002176,27.862707,27.633535,26.254515
10,0.382924923,26.622126,27.627087,27.179281,27.357698,27.337019,25.858667,26.385239,25.365255,25.004707,26.081484,25.926079,26.018776,25.657825,25.959059,25.710297,26.49803,26.014874,27.35472,26.520117,27.443214,29.144867,28.863247,32.28872,33.36036,34.885925,37.691624,38.06417,37.63579,39.09156,43.619057,43.841328,44.35519,43.422253,43.05666,45.254005,48.651398,46.689644,46.444733,47.12893,46.31134,47.382545,48.098396,49.19557,50.682327,51.948303,51.202915,50.79935,52.081337,50.564217,52.286076,54.199505,52.9525,55.64611,56.58748,56.28173,57.97212,52.774326,58.742123,57.639584,57.90531,60.21025,60.25417,60.01686,57.6994,56.77297,54.033924,52.95009,50.764,53.50961,50.5759,44.18243,43.94004,38.981796,45.844982,45.873047,42.93941,42.266277,39.351936,35.26851,34.17547,32.6815,32.710354,33.403374,33.17818,32.673454,30.658857,30.062094,29.289911,28.89468,27.672554,28.58094,30.067753,28.33581,28.29811,27.037977,27.100075
11,0.241730337,26.475885,27.40763,27.045048,27.082916,27.33359,26.512428,26.611403,25.987984,25.42301,25.948868,25.859339,25.872957,26.083895,26.006,25.930681,26.952267,25.932096,27.553652,26.499088,27.689716,29.555946,28.536966,31.340416,31.94369,33.75621,36.521187,38.013153,40.441193,42.00242,45.234158,48.210533,45.331825,48.221813,43.39842,46.727238,44.674046,47.835163,46.49165,47.96131,50.32101,50.70028,50.73824,48.632114,51.424423,53.205494,51.513714,52.516563,51.23136,49.0514,48.741493,49.21876,51.782192,52.853134,55.861652,58.15052,56.113403,58.51194,57.904915,57.442017,58.375347,55.79588,56.555492,53.649952,51.75074,51.900463,47.95995,44.233795,40.315582,40.491966,34.744686,30.769918,41.142647,34.197453,48.99476,46.08282,44.606686,43.07808,36.22716,35.3114,33.445984,33.50801,34.306396,32.53269,34.863594,33.404793,32.819057,31.08081,30.370943,28.613062,27.732538,27.699913,28.67188,28.173697,28.135777,27.748741,26.815434
12,0.382924923,26.562412,26.906853,27.191006,26.740625,27.10454,25.96008,26.673965,25.121544,24.993555,26.041462,25.990637,26.152973,26.112532,25.457949,25.689838,25.095842,25.64042,26.342451,26.155111,27.0149,29.633173,29.197104,31.74798,33.245106,36.23271,37.31023,37.394222,38.47352,39.608482,44.25983,43.46519,40.222942,40.26817,36.002758,37.808075,36.228535,42.118916,43.43729,45.41942,48.282837,51.7764,51.351322,50.318584,51.525158,51.70851,52.21803,52.732567,52.462406,52.641975,48.331684,54.603683,51.14803,53.557766,56.38985,54.96727,58.877087,56.010384,58.755463,58.518986,57.362328,59.74743,58.70565,61.68363,59.598778,59.521805,57.29435,54.97416,54.2278,51.965862,48.686733,44.307274,42.381786,39.71856,45.904915,43.42449,43.494186,41.88571,37.65184,35.628704,33.540314,34.16089,34.277596,34.50314,35.39018,35.37396,34.24576,32.002747,31.41768,28.53784,28.253168,29.033737,29.633497,29.041227,27.157719,26.444088,26.29127
13,0.060597536,26.853104,27.805687,27.378544,27.75714,27.532877,26.25219,26.469515,26.33617,26.265112,26.369545,26.006342,26.68339,25.989384,26.847013,26.326216,26.92923,26.038595,26.379398,26.837934,27.456886,29.66986,29.162758,31.663391,31.286182,32.91715,33.876926,34.795815,37.1601,35.132133,43.7613,44.282715,44.472748,48.428303,47.62284,52.80928,55.154976,54.23532,54.783764,52.008522,52.36501,51.96238,50.161884,51.017124,54.470776,54.941364,51.435074,52.285606,54.28051,48.703205,47.863483,45.15232,49.39537,48.810562,54.08032,56.981773,57.415607,59.452675,58.340595,57.945354,57.488426,55.246754,57.380623,48.073204,55.705135,53.43412,49.017357,43.822853,32.13044,38.824066,32.37681,26.90135,37.694576,34.873184,47.90704,45.361427,46.482834,43.538055,38.40332,35.10773,32.183872,33.176502,33.833786,32.42143,33.99505,31.60538,30.399736,29.572691,28.507896,28.465254,26.94035,27.779665,28.554003,28.489784,27.301777,27.07803,26.190495
