Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost%,Load Served%,Load Transferred%,Grid Load%,Grid Exported,Grid Imported,Bill Before,Bill After,Impact Endurance,Sustained Access,Demand Assurance,Peak Assurance,ES1,PV1,DG1,ES2,PV2,DG2,
Baseline,,8914214.4,4591202.984,40568484.15,0.347499505,0.421392941,92650.05221,0.727402517,1375190.306,2707554.871,519953.1995,519953.1995,0.588795092,0.498200906,0.379253647,0.457795284,2400,2604,0,1200,1345,0.470946736,5.42%
Trans,0,8914214.4,4591280.803,57327106.63,0.560996277,0.404517501,0,0.750002189,1466066.959,2785500.847,519953.1995,493956.5833,0.311613734,0.32502508,0.364065751,0.484688553,2400,2604,0,1200,1345,1,5.00%
Trans,0.1,8914214.4,4591271.457,50895151,0.472388894,0.413174458,38515.66601,0.740690232,1420615.925,2752512.023,519953.1995,493032.8962,0.4177115,0.391274144,0.371857012,0.465621327,2400,2604,0,1200,1345,0.623787087,5.18%
Trans,0.2,8914214.4,4591223.574,44906952.95,0.388140476,0.419318024,74995.94605,0.731656285,1386512.748,2721246.083,519953.1995,492157.4499,0.571393493,0.44264839,0.377386222,0.452005159,2400,2604,0,1200,1345,1,5.35%
Trans,0.3,8914214.4,4591181.894,39464486.71,0.310444445,0.423415811,109026.3054,0.723558002,1367283.846,2696174.964,519953.1995,491455.4586,0.621701478,0.538927291,0.38107423,0.450192751,2400,2604,0,1200,1345,0,5.48%
Trans,0.4,9195222.4,4209364.596,36185103.28,0.25153537,0.413246051,141729.3232,0.716782182,1416854.261,2678557.88,519953.1995,490962.1802,0.650557861,0.601380309,0.371921446,0.427721319,1800,2759,0,1500,1190,0,5.58%
Trans,0.5,9195222.4,4209364.596,32465572.27,0.193429505,0.413891365,168050.76,0.711739787,1407406.058,2666531.924,519953.1995,490625.4535,0.698402057,0.668105537,0.372502228,0.414245105,1800,2759,0,1500,1190,0,5.64%
Trans,0.6,9195222.4,4209364.595,29504363.04,0.14999428,0.413798517,189168.0262,0.708678794,1399860.693,2660668.765,519953.1995,490461.285,0.757660711,0.740717439,0.372418665,0.409514584,1800,2759,0,1500,1190,0,5.67%
Trans,0.7,9195222.4,4209364.595,27256775.29,0.119234339,0.412863285,205512.4843,0.708008633,1394387.003,2663780.389,519953.1995,490548.4105,0.785990819,0.785089487,0.371576957,0.404529554,1800,2759,0,1500,1190,0,5.66%
Trans,0.8,9195222.4,4209364.594,25916603.35,0.10610812,0.411965844,214953.4736,0.706594039,1390594.146,2662181.708,519953.1995,490503.6474,0.791155697,0.818976367,0.370769259,0.400880186,1800,2759,0,1500,1190,0,5.66%
Trans,0.9,9195222.4,4209364.594,24987351.85,0.097731781,0.411099579,221989.6072,0.706131778,1388721.526,2664009.938,519953.1995,490554.8378,0.830832125,0.832777812,0.369989621,0.39970245,1800,2759,0,1500,1190,0,5.65%
Trans,1,9195222.4,4209357.676,24246314.32,0.090826443,0.410232249,227533.4885,0.704869116,1387322.103,2662722.202,519953.1995,490518.7812,0.848313678,0.84457656,0.369209025,0.393465932,1800,2759,0,1500,1190,0,5.66%
Year,1,8914214.4,4590992.748,2002092.036,0.09831149,0.705395003,44328.66885,0.729476239,1797473.954,1140358.883,218629.3496,206833.5284,0.702644026,0.81460972,0.634855503,0.677267992,2400,2604,0,1200,1345,0,5.40%
Year,2,8914214.4,4590996.279,4798438.351,0.108012767,0.680803864,48952.69766,0.728380226,1749948.146,1225004.831,235219.9703,222476.1115,0.708381939,0.789547036,0.612723478,0.657314894,2400,2604,0,1200,1345,0,5.42%
Year,3,9183865.6,4220573.05,10123314.34,0.155343627,0.622971092,54283.84909,0.727626535,1754046.847,1324166.739,254530.9637,240701.4396,0.685106421,0.677459547,0.560673983,0.642986903,1794,2756,0,1506,1193,0,5.43%
Year,4,8914214.4,4591040.705,11965113.98,0.155503162,0.621845498,57027.65881,0.727557134,1652384.015,1441277.057,277042.3794,261989.6611,0.672435196,0.707199473,0.559660948,0.627748689,2400,2604,0,1200,1345,0,5.43%
Year,5,9195222.4,4209255.371,18006037.93,0.206669715,0.565994228,62348.45991,0.727220764,1672087.786,1577314.934,303323.4579,286823.5845,0.618749658,0.598877368,0.509394805,0.590181493,1800,2759,0,1500,1190,0,5.44%
Year,6,9195222.4,4209283.093,22590169.03,0.236587185,0.535746417,66667.22492,0.727197295,1633097.334,1737207.403,334049.9899,315881.7992,0.614216843,0.562349279,0.482171776,0.573981965,1800,2759,0,1500,1190,0,5.44%
Year,7,8914214.4,4591122.479,25868795.5,0.249779354,0.523369963,70262.85168,0.727256093,1526618.824,1924685.77,370025.2093,349911.369,0.6161461,0.596732141,0.471032966,0.558035503,2400,2604,0,1200,1345,0,5.44%
Year,8,8914214.4,4591162.997,31217050.04,0.283103297,0.488691269,76360.46997,0.727160397,1479924.671,2143978.965,412204.97,389795.387,0.598483745,0.560097528,0.439822142,0.522090156,2400,2604,0,1200,1345,0,5.44%
Year,9,8915155.2,4589232.506,36895359.03,0.320280812,0.44921449,84304.77083,0.727053456,1437206.125,2401530.455,461728.1209,436625.3495,0.587020505,0.507193357,0.404293041,0.478096919,2097,2637,0,1500,1312,0,5.44%
Year,10,9195222.4,4209399.774,43617189.98,0.360404245,0.407448084,93833.3012,0.727442017,1439002.86,2708094.234,519953.1995,491789.1981,0.579516875,0.430581825,0.366703276,0.432997317,1800,2759,0,1500,1190,0,5.42%
Year,11,9195222.4,4209412.38,48740303.31,0.388874121,0.378744797,103966.4281,0.728192172,1384886.21,3072844.478,588502.8083,556841.892,0.58860653,0.407269013,0.340870317,0.398778055,1800,2759,0,1500,1190,1,5.38%
Year,12,8914214.4,4591217.513,51976239.5,0.405470702,0.363258462,114447.7714,0.729037804,1268855.036,3504302.067,669317.3508,633574.3385,0.606148462,0.453996735,0.326932616,0.38037178,2400,2604,0,1200,1345,1,5.34%
Year,13,8914214.4,4591209.856,56052042.72,0.433291518,0.336864208,127028.8587,0.730585741,1214816.191,4021382.687,764720.1761,724374.8561,0.599288261,0.444755188,0.303177787,0.352751047,2400,2604,0,1200,1345,1,5.28%
Year,14,8914214.4,4591218.464,59086658.26,0.459697507,0.313277268,139583.4652,0.734366227,1159668.487,4661949.142,877496.6483,832531.8946,0.593654508,0.434826188,0.281949541,0.327349616,2400,2604,0,1200,1345,1,5.12%
Year,15,8914214.4,4587123.878,60377112.28,0.483663198,0.29179852,153663.0209,0.740180582,1104113.477,5458948.449,1010990.229,961642.7394,0.567975933,0.433703082,0.262618668,0.302126247,2400,2604,0,1200,1344,1,4.88%
Year,16,8914214.4,4586925.624,59263255.07,0.505799523,0.272107403,169305.7643,0.746703468,1050825.981,6425892.417,1169219.366,1115300.48,0.566619474,0.422263492,0.244896663,0.273640495,2400,2604,0,1199,1344,1,4.61%
Year,17,8914214.4,4585453.363,54872429.84,0.528551824,0.254514429,184741.6515,0.753601539,1010200.861,7595215.584,1357019.864,1298281.927,0.586449218,0.41553739,0.229062986,0.252296337,2400,2604,0,1199,1343,1,4.33%
Year,18,8914214.4,4578361.419,46016622.62,0.554572984,0.236617548,198556.4192,0.760193338,973812.8499,9000375.744,1580218.469,1516185.296,0.60504939,0.412816678,0.212955794,0.234892662,2400,2604,0,1199,1341,1,4.05%
Year,19,8914214.4,2131501.269,30839249.57,0.593502895,0.209035691,206018.4022,0.773284912,906600.167,10812896.78,1845844.768,1779436.925,0.541536256,0.409194905,0.188132122,0.210500725,2400,2604,0,1199,555,1,3.60%
Year,20,9195222.4,0,7545927.457,0.874226679,0.067565641,22422.67151,0.969705666,736399.4118,15247194.99,2162390.125,2156833.56,0.314684106,0.336005137,0.060809077,0.068618705,1800,2759,0,0,0,0,0.26%
Eprice,0.5,8914214,4591194,44030776.16,0.347522198,0.413374225,92509.55477,0.779277208,1375514.779,2945572.941,519953.1995,466166.7056,0.597785996,0.496911846,0.372036802,0.448463611,2400,2604,0,1200,1345,0,10.34%
Eprice,0.6,8914214,4591194,43423618.74,0.347522198,0.412944736,92666.23206,0.779212459,1375173.772,2945277.436,519953.1995,476907.4561,0.597972096,0.488128135,0.371650262,0.45109258,2400,2604,0,1200,1345,0,8.28%
Eprice,0.7,8914214.4,4591194.091,42816453.71,0.347522198,0.413020457,92666.23251,0.779218199,1375173.772,2945300.817,519953.1995,487669.874,0.587740714,0.495956443,0.371718412,0.455237252,2400,2604,0,1200,1345,0.451095034,6.21%
Eprice,0.8,8914214,4591203,40568484.15,0.347499505,0.421392941,92650.05221,0.727402517,1375190.306,2707554.871,519953.1995,519953.1995,0.588795092,0.498200906,0.379253647,0.457795284,2400,2604,0,1200,1345,0.470946736,5.42%
Eprice,0.9,8914214,4591203,41322079.76,0.347499505,0.421392774,92650.05262,0.727402506,1375190.306,2707554.805,519953.1995,505863.6468,0.587673015,0.493268882,0.379253497,0.450028938,2400,2604,0,1200,1345,0.470946736,2.71%
Eprice,1,8914416,4591001,40613247.52,0.348109107,0.42058959,92759.74411,0.727382727,1376511.341,2707444.652,519953.1995,519953.1995,0.597963085,0.482386736,0.378530631,0.457011286,2345,2610,0,1255,1339,0.469195273,0.00%
PVprice,0.6,8183763.84,403403.7306,38196964.36,0.339459903,0.431172621,93794.97212,0.72752739,1849452.32,2708111.668,519953.1995,491789.6863,0.609916691,0.514123882,0.388055359,0.457324139,2400,3949,0,1200,0,0,5.42%
PVprice,0.8,8914214.4,2132074.451,39937172.69,0.342314021,0.427346062,93598.14224,0.7274576,1604859.156,2707801.416,519953.1995,491780.9992,0.594014106,0.504855789,0.384611456,0.454818056,2400,3255,0,1200,694,0,5.42%
PVprice,1,9195222.4,4209399.774,43617189.98,0.360404245,0.407448084,93833.3012,0.727442017,1439002.86,2708094.234,519953.1995,491789.1981,0.579516875,0.430581825,0.366703276,0.432997317,1800,2759,0,1500,1190,0,5.42%
PVprice,1.2,9242163.84,4775746.237,47451590.7,0.385859446,0.381399094,91234.15626,0.727517809,1143104.479,2708821.241,519953.1995,491809.5543,0.567977504,0.401490743,0.343259185,0.408520538,1797,2312,0,1315,1160,1,5.41%
PVprice,1.4,9240058.24,4903220.46,51226413.95,0.413738618,0.353047591,88674.00618,0.727745784,906191.1817,2710257.951,519953.1995,491849.7822,0.557272838,0.372175103,0.317742832,0.379818845,1800,1981,0,1075,1042,1,5.40%
